川菜,回味川菜馆
闽菜,赖坊大酒店
闽菜,味佳味酒屋
闽菜,飘香大排档
闽菜,星坪饭店
闽菜,风味渔港
闽菜,盛情商务餐厅
闽菜,(温郊服务区)传统菜
闽菜,朱子园酒家
闽菜,三桌店
闽菜,合旺饭店
闽菜,翠园酒家
闽菜,中意口福店
闽菜,顺达饮食店
闽菜,味美思酒屋
闽菜,万隆酒家
闽菜,小城人家
闽菜,金牛酒屋
闽菜,步步高酒店
闽菜,宏泰源酒店
闽菜,河滨酒店
闽菜,新丰酒家
闽菜,阿珍饭店
闽菜,乡巴佬大排档
闽菜,龙燕大酒店
闽菜,凤翔饭店
闽菜,海滋味饭庄
闽菜,福生酒家
闽菜,惠泉美食府
闽菜,食味鲜
闽菜,如意饭店
闽菜,锦鸿酒店
闽菜,新兴饮食店
闽菜,南门桥饭店
闽菜,鑫宝源酒楼
闽菜,南滨酒店
闽菜,金龙酒家
闽菜,万喜酒家
闽菜,金海豚酒店
闽菜,龙泉饭店
闽菜,永安饭店
闽菜,兆武饭店
闽菜,绿天酒店
闽菜,金叶酒店
闽菜,长城大酒店
闽菜,九龙湖鲜鱼馆
闽菜,宴塔酒屋
闽菜,缘和酒店
闽菜,新时空饭店
闽菜,喜来乐酒屋
湘菜,俞记私房菜馆
粤菜,聚仙楼酒家
粤菜,飘飘然酒楼
粤菜,山海渔村
粤菜,金源酒家
火锅,小肥羊火锅店
火锅,极品冒菜
火锅,西山火锅
火锅,九龙潭酒店
火锅,四川药膳火锅城
小吃面食,重庆酸辣粉
小吃面食,山西刀削面
小吃面食,老头面
小吃面食,实小包子店
小吃面食,阿芳鸭肉小吃店
小吃面食,老头面
小吃面食,麦乐士
新疆菜,明珠饭店
快餐简餐,美其乐(清流餐厅)
快餐简餐,风味牛杂馆
快餐简餐,非时客
快餐简餐,沙县小吃
快餐简餐,望湘园港式套餐
快餐简餐,麦乐士炸鸡(龙城街店)
快餐简餐,清流风味阁
快餐简餐,横溪酒屋
快餐简餐,火朝天全驴馆
快餐简餐,大东门小吃
快餐简餐,红樱风味小吃
快餐简餐,张记小吃店
快餐简餐,嵩溪饭店
快餐简餐,沙县风味小吃
快餐简餐,鑫民烧烤
快餐简餐,永安风味小吃
快餐简餐,渔公渔婆美食馆
快餐简餐,有兴风味小吃小炒
快餐简餐,燕燕风味小吃
快餐简餐,红清流早点小吃
快餐简餐,雪香快餐店
快餐简餐,好粥道
西餐,佳客来
西餐,华莱士(清流店)
面包甜点,开杰蛋糕店
面包甜点,正泉盛蛋糕面包
面包甜点,开杰蛋糕店
面包甜点,安娜麦香园面包屋
面包甜点,水水葡京
面包甜点,茶物语
面包甜点,漳太蛋糕坊
面包甜点,大嘴熊
面包甜点,漳太蛋糕坊
面包甜点,意冰客
面包甜点,漳太蛋糕坊
面包甜点,乐可斯百味冰淇淋
面包甜点,意大利风味冰淇淋
面包甜点,宏盛蛋糕店
面包甜点,冰馨小屋
面包甜点,水舞功夫
面包甜点,避风港
面包甜点,小猴子茶亭
面包甜点,爱菲尔烘焙坊
面包甜点,情迷森林
面包甜点,众口福点心
面包甜点,98休闲屋
面包甜点,漳太蛋糕坊(实幼店)
面包甜点,华夏面包蛋糕坊
茶馆,天福一品茶馆
茶馆,天然居茶馆
茶馆,津韵茗茶庄
咖啡厅,LC休闲小镇
咖啡厅,豆豆咖啡
咖啡厅,寻味咖啡屋
其他,七星岩羊肉馆清流总店
其他,客家村酒家
其他,潮汕一品粥(清流店)
