川菜,四川隆昌羊肉馆
云南菜,威信县兄弟饭店
云南菜,饕餮园
云南菜,林利饭店
云南菜,九里香酒楼
云南菜,红星饭店
云南菜,香客来饭店
云南菜,庄子农家乐饭店
云南菜,鼎鼎香饭店
云南菜,巴国布依酒家
云南菜,锦园酒楼
云南菜,鑫韵饭店
云南菜,香又来酒楼
云南菜,桥上饭店
云南菜,百信饭店
云南菜,地税局后勤服务中心
云南菜,麻辣红城(威信店)
云南菜,超越饭店
云南菜,夜不收酒楼
云南菜,鸿运饭店
云南菜,野味轩饭店
云南菜,金牌香猪酒楼
云南菜,聚贤饭店
粤菜,世满酒楼
火锅,汤呈上品
火锅,重庆小天鹅火锅食府
火锅,添二畔火锅城
火锅,王记羊肉火锅
火锅,川妹子火锅城
火锅,重庆九鼎火锅
火锅,从林火锅店
新疆菜,食为天饭庄
快餐简餐,五谷空间
快餐简餐,可美味
快餐简餐,林芳餐馆
快餐简餐,8号小厨
面包甜点,喜利来饼屋
面包甜点,喜利来面包店
面包甜点,好利来蛋糕世界
面包甜点,时畅饼屋
茶馆,流星花园茶座
茶馆,好朋0K茶座
茶馆,浪乐音乐茶楼
茶馆,泰豪茶楼
咖啡厅,米兰印象
咖啡厅,1993bar
咖啡厅,浪淘沙休闲吧
咖啡厅,天水雅格
酒吧,奈门摩尔灵魂酒吧
酒吧,好久不见Bar
酒吧,动带酒吧
酒吧,经典酒吧
酒吧,心愿酒吧
酒吧,蓝梦酒吧
酒吧,夜魅酒吧
其他,徐三凉菜特色宵夜
其他,福妈妈永和豆浆(威信县)
