川菜,川湘酒楼
清真菜,清真生态园
清真菜,占英清真餐馆
清真菜,信合清真餐厅
火锅,喜缘四季火锅
火锅,品三锅火锅城
小吃面食,伊兰和牛肉拉面
新疆菜,伊清香牛肉面
新疆菜,新颖羊肉餐馆
新疆菜,东乡手抓餐厅
新疆菜,穆萨饭菜馆
新疆菜,南阳山度假村
新疆菜,百味轩
新疆菜,伊兰清餐馆
新疆菜,海麦手抓餐厅
新疆菜,喇家饭菜馆
新疆菜,南关羊肉餐馆
新疆菜,菇拜美食城
新疆菜,兰和餐厅
新疆菜,雅格饭菜馆
新疆菜,广河美食城
新疆菜,达浪美食城
新疆菜,伊宁阁
新疆菜,王郎饭庄
新疆菜,东街餐厅
快餐简餐,泉城美食美客快餐排档
快餐简餐,聚泉餐厅
快餐简餐,乐客
快餐简餐,醉春风餐厅
快餐简餐,香酥童子鸡
茶馆,茶物语奶茶店
茶馆,兴荣茶庄(东后街店)
茶馆,兴荣茶庄(南关路店)
酒吧,火线酒吧俱乐部
酒吧,79吧
其他,泉城酒楼
其他,华家集餐厅
其他,和政饭店
其他,清香源东乡手抓羊肉馆
其他,林龙饭馆
其他,醉仙楼
其他,银线宾馆
其他,口福源
其他,龙泉酒店
其他,聚兴酒楼
其他,百姓饭庄
