其他西餐,Ithaa undersea restaurant
快餐简餐,KIHAAD主餐厅
快餐简餐,马纳法鲁岛
快餐简餐,坎度餐厅
快餐简餐,莫河羊肉馆
快餐简餐,Marrybrown
快餐简餐,大厨小菜馆
快餐简餐,德克士
快餐简餐,台湾咔咔寿酵素梅and代餐粉
快餐简餐,点点心
海鲜,Zhe Dining Room
海鲜,reef自助餐厅
酒吧,珊瑚吧
酒吧,Azzurro酒吧
酒吧,卡尼岛日落酒吧
酒吧,Keuredi Bar
酒吧,Naiboli Bar
酒吧,Dhoni Bar
酒吧,Kakuni Bar
酒吧,加勒比风
酒吧,Sand bar
酒吧,鑫晴清吧
更多亚洲菜,Sala Thai Restaurant
咖啡厅,内飞VIP Room
咖啡厅,蓝岸咖啡
咖啡厅,Seagull Cafe House
咖啡厅,I-berry Cafe
咖啡厅,Jazz Cafe
咖啡厅,Marble Cafe
咖啡厅,Cafe Mazada
咖啡厅,Evening Cafe
咖啡厅,The Coffee House
咖啡厅,Cafe Bourse
披萨,Pizza Buona
面包甜点,SWENSENS
面包甜点,汤师傅糕点
面包甜点,口口香饮吧
面包甜点,么么哒
烧烤,兄弟伙纸包鱼
