中餐厅,溯品私房菜
海鲜,The Lighthouse
海鲜,White Rabbit
酒吧,"""The Deck"" Tapas Bar"
酒吧,The aquaRium Bar And Bungalows
酒吧,The Terrace Restaurant and Bar
酒吧,The Corner Bar
酒吧,Sky Bar
酒吧,Bar From Home
酒吧,Bamboo Bar
酒吧,The Purple Midget Bar
酒吧,高龙岛之花
咖啡厅,The aquaRium Bar And Bungalows
咖啡厅,Mango Cafe
咖啡厅,The Barista Cafe
西餐,Grand Restaurant Kampuchea Restaurant
西餐,Happa's Restaurant
西餐,New Sea View Villa Restaurant
西餐,Dau's Restaurant
西餐,Reef Resort Restaurant
西餐,Gekko Restaurant
西餐,Lemongrass Restaurant
西餐,Greek Cousine Restaurant
西餐,Carpe Diem Restaurant
西餐,Friends Forever Restaurant
西餐,The Bavarian Guesthouse and German Restaurant
比萨,Ecstatic Pizza
比萨,happy Sihanouk Ville pizza
比萨,happy sihanouk ville pizza
比萨,happy sihanouk ville pizza
