西式快餐,华莱士
咖啡厅,Vaatika Cafe
咖啡厅,Dosa Cafe
咖啡厅,The Mark Cafe
咖啡厅,Kerala Cafe
咖啡厅,Flavours Cafe
咖啡厅,Green Lassi
咖啡厅,Kerla Coffee
咖啡厅,Phulwari Restaurant and Sami Cafe
咖啡厅,Cafe restaurant Sala
咖啡厅,Aum Cafe
咖啡厅,Niyati Cafe
咖啡厅,Bona Cafe
咖啡厅,Shree cafe Vegatarian Restaurant
咖啡厅,Gr8 Indian Cafe
咖啡厅,Madhur Milan cafe
咖啡厅,Sarnath Cafe
咖啡厅,"East West, The Coffee Shop"
咖啡厅,Shiva Cafe and German Bakery
咖啡厅,Megu Cafe
咖啡厅,Zoe Cafe
咖啡厅,Ashish Cafe
咖啡厅,99 Not Out - Veg Cafe
咖啡厅,Classic CAFE
咖啡厅,The Sunflower Cafe
咖啡厅,Mong Cafe
