意大利菜,Leman Kultur
其他西餐,Sultanahmet Koftecisi
其他西餐,Kitchenette
其他西餐,Meshur Adiyaman Cig Koftecisi Omer Usta
中餐,Sushico
快餐简餐,McDonald's
快餐简餐,Burger King
快餐简餐,McDonald's
快餐简餐,Burger King
快餐简餐,Sbarro
海鲜,King Fish
比萨,Pasaport Pizza
比萨,Pizza Napoli
比萨,Pizza Pizza
比萨,Domino's Pizza
比萨,Stella's Bella Pizza
咖啡厅,Dem-lik
咖啡厅,Terrace Ice Cafe
咖啡厅,Cafe Sur Lounge
咖啡厅,Lal Cafe
咖啡厅,Order Lounge Cafe Bistro
咖啡厅,Insaat Cafe
咖啡厅,Lavazza Coffee Shop
面包甜点,Waffle 12
面包甜点,Bolulu Hasan Usta
酒吧,Hayyam Pub
酒吧,Club Arma
酒吧,Indigo's Pub
酒吧,Club Ally
酒吧,roof bar
更多美食,Parlak Restaurant
