冰淇淋,Fassi 1880
意大利菜,Vito's Roma
意大利菜,Cucina & vista
意大利菜,Target
意大利菜,Est! Est! Est! - Pizzeria Ricci
意大利菜,Ristorante Alessio
意大利菜,Osteria da Fortunata
意大利菜,Luzzi
意大利菜,Baccano
意大利菜,Piccolo Arancio
意大利菜,Trattoria Vecchia Roma
意大利菜,That's Amore
意大利菜,vongole e farina
意大利菜,Colline Emiliane
意大利菜,Cottini
意大利菜,Lo Scarpone
意大利菜,Pizzeria Asti
意大利菜,Enoteca Provincia Romana
意大利菜,'Gusto
意大利菜,Gli eroi
意大利菜,Mamma Angela's
意大利菜,Eataly Roma
意大利菜,Bar Viminale
意大利菜,Pompi
意大利菜,Pizzeria Luzzi
意大利菜,Ristorante Oliver Glowig
意大利菜,La Terrazza dell'Eden
意大利菜,Grotta Azzurra
意大利菜,Pizza Fantasy
意大利菜,Vecchia Roma
意大利菜,Cantina e Cucina
意大利菜,Pasticceria Barberini
意大利菜,Origano
意大利菜,Osteria dell'Ingegno
意大利菜,Rossovivo
意大利菜,Gran Caffe' Roma
意大利菜,Pizza Ciro
意大利菜,REbasilico Euroma2
意大利菜,Ristorante La Rosetta
意大利菜,Ristorante Bel Poggio
意大利菜,Roscioli
意大利菜,Bull Steak
意大利菜,La Fontana di Venere
意大利菜,Hostaria Costanza
意大利菜,La Cucina Nazionale
意大利菜,Enoteca Baccano
意大利菜,Capperi!
意大利菜,Le Grotte
意大利菜,Il Brillo Parlante
意大利菜,"Bernini, Rome"
意大利菜,Pizzarium
意大利菜,Dobar-doris
意大利菜,Pasquino Ristorante Pizzeria
意大利菜,Blue Ice
意大利菜,Enoteca Il Piccolo
意大利菜,La Scala
意大利菜,Cybo
意大利菜,RomAntica
意大利菜,Hosteria La Vacca M'briaca
意大利菜,La Scaletta
意大利菜,Da Francesco
意大利菜,San Marino
意大利菜,'Gusto Cafe / Rotisserie
意大利菜,Taverna Latina
意大利菜,La Taverna dei Fori Imperiali
意大利菜,Hostaria - Pizzeria Dino & Toni
意大利菜,Tomoko Tudini
意大利菜,Il Peperoncino Dispettoso
意大利菜,Ristorante Sugo
意大利菜,Rosso Eat Drink Stay
意大利菜,Pizzeria San Marco
意大利菜,Ai Bales terai In Prato
意大利菜,Ristorante Matricianella Roma
意大利菜,La Locanda Di Eugenio E Fabio
意大利菜,Il Fiammifero Strano
意大利菜,Grill e Wine
意大利菜,La Sacrestia
意大利菜,Al Vantaggio
意大利菜,Osteria a piedi pari
意大利菜,Nerone
意大利菜,La Fraschetta di Castel Sant'Angelo
意大利菜,Tucci
意大利菜,Maranega
意大利菜,Ristorante Zeus
意大利菜,I San Pietrini
意大利菜,Aldo ai Musei Vaticani
意大利菜,Osteria Pistoia
意大利菜,Ristorante Pizzeria Al Piacere
意大利菜,La Pace del Cervello
意大利菜,La Soffitta Renovatio
意大利菜,Ristorante Il Secchio
意大利菜,Il Gabriello
意大利菜,Antica Roma
意大利菜,Ristorante Il Fico
意大利菜,L'Olimpo
意大利菜,Il Pentagrappolo
意大利菜,Pastificio
意大利菜,Ice Cream Factory
意大利菜,Ristorante Mino
意大利菜,Hosteria Pizzeria
意大利菜,Le Fate Ignoranti
意大利菜,Osteria Il Vecchio e il Mare
意大利菜,Pizza & Dintorni
意大利菜,Caffe Nazionale 215
意大利菜,Una Hotel Rome
意大利菜,Alex Restaurant & Café
意大利菜,Agrippa al Pantheon
意大利菜,La Fontana al Viminale
意大利菜,Massimo Riccioli Ristorante Bistrot
意大利菜,Il Grottino all'Aventino
意大利菜,Trattoria Monti
意大利菜,Trattoria dell'Omo
意大利菜,Corte Del Grillo Osteria
意大利菜,Ristorante Regina
意大利菜,Ristorante Di Rienzo
意大利菜,Spaghetteria L'Archetto
意大利菜,Dal Toscano
意大利菜,Camporese - Bar Trattoria Pizzeria
意大利菜,Er Caffettiere
意大利菜,Pizzeria Amalfi
意大利菜,La Carbonara
意大利菜,Pandora Club
意大利菜,Doney Restaurant
意大利菜,Da Vito e Dina
意大利菜,Ristorante da Giovanni di Valentino
意大利菜,Da Nazzareno
意大利菜,Unico
意大利菜,Mangianapoli
意大利菜,Zi Gaetana Pizzeria
意大利菜,La Lampada
意大利菜,Ciuri Ciuri
意大利菜,Gusto Pinto
意大利菜,Mordi e Vai
意大利菜,Agata e Romeo
意大利菜,Alice Pizza
意大利菜,Locanda dei Matteini
意大利菜,Dal Bolognese
意大利菜,Galeassi
意大利菜,Bar Pasticceria Pompi
意大利菜,Toto alle Carozze
意大利菜,Zaza Osteria
意大利菜,Nat Gusto Naturale
意大利菜,L'Archetto di Cavour
意大利菜,Trattoria Colli Emiliani
意大利菜,Aquila Nera
意大利菜,Osteria della Vite
意大利菜,Spazio dell'Officina Biologica
意大利菜,Mucca Pazza
意大利菜,"Il Giusto Gusto, Roma Prati"
意大利菜,Incantesimo Napoletano
意大利菜,Gelati Gelati
意大利菜,Mamy cafe
意大利菜,Bar Lillo
意大利菜,La Carrozzeria Beer & Food
意大利菜,Gelateria Latte e Miele
意大利菜,Bistrot L'attico
意大利菜,Vino Bono
意大利菜,Tolleranza 0 - Ce N'è Per Tutti
意大利菜,Sapori di sardegna rome italy
意大利菜,Danel Tavernae
意大利菜,Laboratorio del pesce
意大利菜,Ristorante Maia
意大利菜,Popeye Pizza
意大利菜,Ristorante SoSo
意大利菜,Stile libero
意大利菜,Da erichetto
意大利菜,Teulada Drink & Food
意大利菜,Italian Food
意大利菜,Caffe Torino / Bar Tavola Calda
意大利菜,Picnic Store
意大利菜,Bar Diam
意大利菜,Circolo ufficiali forze armate
意大利菜,Panificio Pizzeria Pasticceria
意大利菜,Parco de' Medici Club
意大利菜,Il Colonnato
意大利菜,Guily's Cafe Paolini Giuliana
意大利菜,Al Grotino
意大利菜,Villa Tavernucole
意大利菜,Angelino ai Fori dal 1947
意大利菜,Ristorante Pizzeria Santi
意大利菜,Living Room Cafe
意大利菜,Scilla & Cariddi
意大利菜,Bistrot Quirino
意大利菜,Trattoria da Valentino
意大利菜,Mancini Fernando Trattoria al Varesino
意大利菜,Alfredo e Ada
意大利菜,Il Bocconcino
意大利菜,Spaccio Pasta
意大利菜,Osteria Barberini
意大利菜,La Matriciana
意大利菜,Da Armando al Pantheon
意大利菜,La Piazzetta
意大利菜,Fagianetto
意大利菜,Hostaria Romana
意大利菜,Locanda Barberini
意大利菜,La Vecchia Conca Srl
意大利菜,Tartufi & Friends
意大利菜,Pizzeria Del Secolo
意大利菜,Come a Casa di Jacopo e Fabrizio
意大利菜,Pasta Love
意大利菜,Hostaria De' Pastini Pizzeria
意大利菜,Kilo Restaurant
意大利菜,Trattoria Nuova Stella
意大利菜,Hostaria Pantheon
意大利菜,Rosy
意大利菜,Roma
意大利菜,L'Orsetto
意大利菜,La Buca di Ripetta
意大利菜,La Scala ai Parioli
意大利菜,La Terrasse Cuisine & Lounge
意大利菜,Taverna Parioli
意大利菜,Ristorante Sora Lucia
意大利菜,Spinelli - Caffetteria & Bistrot
意大利菜,Le 2 Colonne
意大利菜,Tre Scalinin
意大利菜,Da Benito e Gilberto al Falco
意大利菜,Melo
意大利菜,Ristorante Campo de Fiori
意大利菜,Glass Hostaria
意大利菜,Settimio Al Pantheon
意大利菜,Sora Lella
意大利菜,Marco G
意大利菜,Ponte e Parione
意大利菜,Hostaria La Botticella
意大利菜,"Etabli - Cafe, Wine & Cocktail Bar, Ristorante"
意大利菜,Caffetteria Gracchi
意大利菜,I Monticiani
意大利菜,Hostaria Farnese
意大利菜,Lorel in the World
意大利菜,La Focaccia
意大利菜,La Veranda Dell'Hotel Columbus
意大利菜,La Taverna dei Monti
意大利菜,Ristorante Passetto
意大利菜,Trattoria Etruria 39
意大利菜,Taverna Romana
意大利菜,Osteria Centouno
意大利菜,Il Chianti
意大利菜,Ristorante Tre Pupazzi
意大利菜,Gelateria
意大利菜,Pasticceria 5 Lune
意大利菜,La Frusta Ristorante
意大利菜,L'Angoletto ai Musei
意大利菜,La Pecora Pazza
意大利菜,Divin Ostilia Wine Bar
意大利菜,Edoardo II
意大利菜,Ciampini Ristorante
意大利菜,Trattoria Valentino
意大利菜,Mario's
意大利菜,sor'eva
意大利菜,Hostaria San Pietro
意大利菜,Mangrovia Restaurant
意大利菜,La Pilotta
意大利菜,La Francescana
意大利菜,Al Camoscio d'Abruzzo
意大利菜,Trattoria Antica Hostaria da Angelino
意大利菜,Hostaria al 31
意大利菜,Le Virtu in Tavola
意大利菜,Elettra
意大利菜,Barbablu
意大利菜,Ginger Sapori e salute
意大利菜,Sfizio Pizza
意大利菜,Ditirambo
意大利菜,Compagnia Del Pane
意大利菜,Dar Poeta
意大利菜,Francesco Forti Ricevimenti
意大利菜,Hostaria Menenio Agrippa
意大利菜,Grappolo d'Oro
意大利菜,La Carovana Pazza
意大利菜,Da Tonino
意大利菜,Il Convivio Troiani
意大利菜,Il Nipotino del Solitario
意大利菜,L'Insalata Ricca
意大利菜,Il Fellini
意大利菜,Voglia di Pizza
意大利菜,Navona Notte
意大利菜,Nonna Betta
意大利菜,Ristorante Vladimiro
意大利菜,Due Ladroni
意大利菜,Osteria St. Ana
意大利菜,Vecchia Roma
意大利菜,Alla Lanterna
意大利菜,Del Frate Wine Bar
意大利菜,Trattoria Pizzeria 
意大利菜,Osteria dell' Anima
意大利菜,Zagara
意大利菜,Trattoria Cotto e Magnato
意大利菜,Mamma Venerina
意大利菜,Trattoria da Teo
意大利菜,Pinsa e Buoi
意大利菜,La Campana
意大利菜,Trattoria Da Tonino
意大利菜,Viva Voce
意大利菜,3Quarti
