意大利菜,Jamie's Italian
其他西餐,Little Italy
中餐,中华大酒楼
中餐,中原餐厅
快餐简餐,棒棒川菜馆
快餐简餐,Nando's
快餐简餐,KFC
快餐简餐,Tea
快餐简餐,Papa John's
快餐简餐,KFC
烧烤,Istanbul Bistro BBQ
烧烤,老蜀人
比萨,Pizza Hut
比萨,Abe's Pizza
咖啡厅,Cafe Tabac
咖啡厅,Taste Buds Cafe
咖啡厅,Fenwick street coffee shop
咖啡厅,Temptations Cafe Bar
咖啡厅,Fontaines cafe
咖啡厅,Junction Coffee
咖啡厅,Piazza Cafe Bar
咖啡厅,Rococo Coffee House
咖啡厅,Moose Coffee
咖啡厅,Cinnamon Cafe Bar and Lounge
咖啡厅,The Anfield Cafe
咖啡厅,Sensations Cafe
咖啡厅,Cafe D'Art
咖啡厅,Cosy Bean Cafe
咖啡厅,Kasbah Cafe Bazaar
酒吧,Big Bowl Noodle Bar
酒吧,The Italian Club Fish
酒吧,Mei Zhen Noodle Bar
酒吧,The White Horse
酒吧,Hannah's Bar
酒吧,Club Cellar Bar
酒吧,Black Horse Pub
酒吧,tribeca
酒吧,JR's Bar
酒吧,The Bank Bar and Brasserie
酒吧,Ocean fish bar
更多美食,Marco Pierre White Steakhouse Bar & Grill
