意大利菜,Bella Italia
法国菜,La Terrasse
其他西餐,Hooters
其他西餐,Mash British curry house
日韩料理,Maru Botana
日韩料理,Maru Botana Nextdoor
日韩料理,Osaka
更多亚洲菜,Lotus Neo Thai
快餐简餐,McDonald's
烧烤,BBQ Town
比萨,Kentucky Pizza - Hollywood
比萨,Pizza Free
咖啡厅,Cafe Tortoni
咖啡厅,Havanna Café
咖啡厅,Army Cafe
咖啡厅,Cafe San Juan
咖啡厅,Dos Escudos Cafe
咖啡厅,Rio Cafe
咖啡厅,Coffee Town
咖啡厅,gout cafe
咖啡厅,Deli House Cafe
咖啡厅,Victoria Brown Coffee and Bar
咖啡厅,Cafe des Art
咖啡厅,Cafe Relax 3
咖啡厅,Cafe San Bernardo
咖啡厅,El Farolito de la Costa
咖啡厅,The Coffee Store
咖啡厅,Lulu Cafe
咖啡厅,Cafe Ditali
咖啡厅,Voulez Vous Cafe
咖啡厅,Havanna Cafe
咖啡厅,Patagonia grill alto palermo
咖啡厅,Cafe Lattente
咖啡厅,Cafe Orleans
咖啡厅,天涯
面包甜点,Freddo (Flores店 )
面包甜点,Le Pain Quotidien
面包甜点,Angelina
酒吧,La Alhambra
酒吧,Bar Plaza Dorrego San Telmo
酒吧,Sushi Club Palermo Hollywood
酒吧,Chaco Bar
酒吧,Sugar Bar
酒吧,El Club De La Milanesa
酒吧,Margarita
酒吧,Pura Vida Juice Bar
酒吧,Lucinda Bar
酒吧,AQP resto bar
酒吧,Bar portuario
酒吧,La Posada Parrilla Bar
酒吧,Bar La Academia
酒吧,bar restaurante 
酒吧,le bar
酒吧,Iruya Resto Bar
酒吧,Club Danes
酒吧,Oak Bar
酒吧,Macondo Bar
酒吧,Bar UnoSieteSieteUno
酒吧,Florentina
酒吧,Pekin Bar de Pizza
酒吧,Mole Bar
酒吧,Boris Club de Jazz Resto Bar
酒吧,Omm Bar
酒吧,Frank's Bar
酒吧,Club Hungaria
酒吧,Zelaitxo Resto Bar
酒吧,Plan B
酒吧,Gargola Salon Privado
酒吧,Bretannia Bar
酒吧,Jobs Bar
酒吧,Almacen Secreto Club
更多美食,Accademia
更多美食,Little Rose
