意大利菜,Dolce Vita
其他西餐,El Molino
快餐简餐,McDonald's
比萨,Panino Pizza Pasta y Vino
比萨,La Pizza Carlo
比萨,Restaurant Mia Pizza
咖啡厅,Cafe Morena
咖啡厅,Kushka...Fe Cafe Restaurante
咖啡厅,MAP Cafe
咖啡厅,Cafe Loco
咖啡厅,Triskel Cafe/galeria De Arte
咖啡厅,Bagdad Cafe
咖啡厅,Cafe Ayllu
咖啡厅,Sara: The Organic Cafe Bistro
咖啡厅,Restaurant Cafe Bar Pucara
咖啡厅,Cafe de la Paz
咖啡厅,Laggart Club Cafe Cultural
咖啡厅,Tabasco Cafe
咖啡厅,Super Cafe Extra
咖啡厅,Cafe Richarry
咖啡厅,Cafe Ayllu
咖啡厅,Cafe Dos X 3
咖啡厅,Cafe Punchay
咖啡厅,Sonqo Cafe
咖啡厅,Green Point
咖啡厅,Encuentros Cafe
咖啡厅,La cholita cafe
咖啡厅,Cafe Allyu
咖啡厅,Cafe Restaurant Aldea Yanapay
咖啡厅,Cafe Pasteleria Nevada
咖啡厅,Bagel Cafe
咖啡厅,Misky Cafe
咖啡厅,Jack's Cafe
咖啡厅,Plus Cafe Restaurant
面包甜点,Sweet Temptation
酒吧,Indigo
酒吧,Paddy's Irish Pub
酒吧,"Muse, Too"
酒吧,Bar Cusco
酒吧,Aguaymanto Resto Bar
酒吧,Prana Raw Food Bar
