更多亚洲菜,Luang Prabang Kitchen
西式正餐,coconut resteraut
海鲜,丰熙旺家常菜馆
海鲜,琅勃拉邦厨房美食餐厅
烧烤,BBQ by the Bridge
烧烤,Malee BBQ
咖啡厅,JOMA BAKERY CAFE
咖啡厅,Tam Tam Cafe
咖啡厅,Joma Bakery Cafe
咖啡厅,Joma Bakery Cafe
咖啡厅,Ancient Kili Cafe
咖啡厅,Cafe Benoni
咖啡厅,Cafe Sinouk
咖啡厅,Sticky Fingers Cafe and Bar
咖啡厅,Halolao Fabric Cafe
咖啡厅,Pilgrim's Cafe
咖啡厅,Sabaidee Cafe and Bakery
咖啡厅,Ock Pop Tok - Silk Road Cafe
咖啡厅,Cafe Nomad
咖啡厅,Restaurant Cafe Chez Boune
咖啡厅,Green Coconut
咖啡厅,Full Moon Cafe
咖啡厅,Viewpoint cafe and restaurant
咖啡厅,Dao Coffee Luang Prabang
咖啡厅,Cafe Chai Dee
咖啡厅,Sihome Backpackers Cafe
咖啡厅,"The Little House, House Roasted Coffee"
咖啡厅,Kungs Cafe
咖啡厅,Cafe Croissant d'Or
咖啡厅,Lin's Cafe
咖啡厅,Neked EsPresSo
面包甜点,Scandinavian Bakery
面包甜点,Luang Prabang Bakery
面包甜点,Dream Bakery
面包甜点,Scandinavian Bakery
面包甜点,Smile Bakery
面包甜点,Scandinavian Bakery
酒吧,home酒吧
酒吧,Via Via Restaurant and Bar
酒吧,Utopia Restaurant and Bar
酒吧,Aussie Sports Bar and Guesthouse
酒吧,Bar How?
酒吧,Highland Bar
酒吧,I-Beam Bar
酒吧,Nam Phu Restaurant and Bar
酒吧,Happy bar
酒吧,Boat Bar - Restaurant
酒吧,Peeping Som's Bar and Restaurant
酒吧,Reggae Bar
酒吧,Kangaroo Sunset Bar
酒吧,Redbul Bar
酒吧,Max's Grill Bar and Restaurant
酒吧,Aussie Sports Bar
酒吧,乌托邦
酒吧,La Pistoche Swimming Pool & Bar
酒吧,Kiwi Bar
酒吧,Dao Fah
