中餐,一号公馆
更多亚洲菜,U Myint Kyaw&Daw Than Htay
更多亚洲菜,The Beach Bagan
西式快餐,Mr. Brown Bakery & DrinKs
海鲜,仰光水上宫殿餐厅
海鲜,曼德勒翡翠皇宫
海鲜,Minn Lan Moat Ti & Seafood
海鲜,缅甸曼德勒翡翠皇宫
火锅,Gu Family Hot Pot(谷家火锅)
火锅,T'rak 泰國自助火鍋
火锅,云南饵丝
烧烤,北京烤鸭(仰光分店)
烧烤,Yunnan BBQ
小吃,辽宁饺子馆liaoning
小吃,娘水夜市
咖啡厅,Fuji Coffee House and Restaurant
咖啡厅,Cafe House
咖啡厅,Cafe City
咖啡厅,Green Elephant
咖啡厅,Cafe Dibar
咖啡厅,Cafe' NAPOLI
咖啡厅,Nay Cafe
咖啡厅,Ya Kun Family Cafe
咖啡厅,Teakwood Guesthouse Cafe
咖啡厅,The Green Elephant
咖啡厅,The Strand Cafe
咖啡厅,Mingalarbar Food Corner
咖啡厅,Eugenia Cafe
咖啡厅,Cafe Delight
咖啡厅,Cafe Brolly
咖啡厅,Ritz Cafe
咖啡厅,Thiri Cafe Restaurant
咖啡厅,Kosan Cafe
咖啡厅,Renaissance Cafe
咖啡厅,Coffee Club Myanmar - Downtown Yangon
面包甜点,Shwe Pu Zun Bakery and Cafeteria
酒吧,sky bistro
酒吧,Nylon Icecream Bar
酒吧,Mr. Bar B.Q
酒吧,Alamanda Inn Restaurant and Bar
酒吧,Boost Bar @Inya Day Spa
酒吧,Bar Boon
酒吧,Union Bar and Grill
酒吧,Kipling's Bar and Lounge
酒吧,The Thiripyitsaya Sky Bistro
酒吧,Ice Cream Bar (ICB) Dessert Cafe
酒吧,Cask 81 Whisky Bar
酒吧,LV Pub
酒吧,Green Restaurant and Bar
酒吧,Pioneer
酒吧,BME 2
