中餐,Royal Kitchen
快餐简餐,Nautilus
快餐简餐,Subway
海鲜,Green Garden Restaurant
比萨,360 Degrees Artisan Pizza
比萨,Naked Pizza
比萨,I Love Pizza
咖啡厅,Java coffee house
咖啡厅,Tarboush Cafe
咖啡厅,the corner affair Bistro
咖啡厅,Corner Bistro
咖啡厅,Kaldis Coffee Shop
咖啡厅,Whispers Coffeeshop
咖啡厅,Mukutan Garden Cafe
咖啡厅,Cafe Maghreb
咖啡厅,The Coffee Hut
咖啡厅,Cafe Bon Appetit
咖啡厅,SWAHILI cafe
咖啡厅,Karibu Cafe
咖啡厅,Oleader Cafe
咖啡厅,Alnoor Cafeteria
咖啡厅,Kengeles Lavington Green
咖啡厅,The Courtyard Cafe
酒吧,Bar B. Q. Tonight
酒吧,Blue Marlin Beach Club
酒吧,Beach Bar at The Sands at Nomad
酒吧,casablanca bar
酒吧,Tapas Ceviche Bar Nairobi
酒吧,Simba Club
酒吧,Makuti Bar
酒吧,Mami Bar Ristorante
酒吧,Punda Milia Paradise Bar and Restaurant
酒吧,Vineyard Restaurant And Wine Bar
酒吧,Gipsy Bar
酒吧,Tree House Club
酒吧,Aero Club of East Africa Restaurant
酒吧,Exchange Bar
酒吧,Bobos
酒吧,Malindi Sea Fishing Club
更多美食,Baby Marrow
更多美食,"Nairobi Java House, Mombasa Kenya"
