意大利菜,Hot Pot
快餐简餐,KFC
比萨,Jack Sprat Seafood and Pizza
比萨,Chances Pizza
比萨,Lee's Pizza
咖啡厅,South Beach Cafe
咖啡厅,Yosch Cafe
咖啡厅,M.G.'S Cafe Lounge
咖啡厅,Cafe Express
咖啡厅,Carlos' Cafe
咖啡厅,Cafe le Matin
咖啡厅,Cheap Thrill Corner
咖啡厅,Cool Spot
咖啡厅,Red Bones Blues Cafe
咖啡厅,Cafe Goa
咖啡厅,Susie's Cafe
咖啡厅,Spanish Court Cafe
咖啡厅,Don Fresh Lobsters
咖啡厅,Rick's Cafe
咖啡厅,Legend Cafe
咖啡厅,EITS Cafe
咖啡厅,Cru
面包甜点,Sweet Daddy's
面包甜点,Coronation Bakery
面包甜点,The Honey Pot
面包甜点,Island Twist on the Beach
酒吧,Collette's Bar
酒吧,The Lobster House At Sunrise Club
酒吧,Country and Western Roadside Pub
酒吧,Daro's One Love Restaurant Bar Negril
酒吧,Flavours Beach Bar and Restaurant
酒吧,Cuddyz Sports Bar
酒吧,Natural Mystic Bar
酒吧,Spice Kitchen and Bar
酒吧,Canoe Bar
酒吧,Scallywags Bar n Grill
酒吧,June Plum Restaurant and Bar
