北京菜,嘉海农家饭店
川菜,麻辣兔头
川菜,振川酒家
湘菜,香盈园
湘菜,富贵人家
东北菜,大清花饺子城
东北菜,腾源家常菜
粤菜,名苑酒楼
江浙菜,新东海贵宾楼酒店
江浙菜,喜庆楼
火锅,锡盟羊蝎子
火锅,福满楼肥牛大酒店
火锅,隆福肥牛
火锅,浩盛垣火锅店
火锅,福香居
火锅,呷哺呷哺(宣化朝阳店)
小吃面食,酸辣粉
小吃面食,金麦王拉面
小吃面食,马记牛肉面
小吃面食,千佰味黄焖鸡米饭
快餐简餐,合顺刀削面
快餐简餐,福安家常菜
快餐简餐,山东呛面馒头
快餐简餐,张记食堂
快餐简餐,福鑫小镇中式快餐外送
快餐简餐,于记包子铺
快餐简餐,天天兴小吃部
快餐简餐,同惠饺子屋
快餐简餐,惠宾快餐店
烧烤,兄弟串烧工坊
烧烤,大家烤全羊
自助餐,曙光牛大骨
面包甜点,鲜果时间
面包甜点,天乐福蛋糕屋
面包甜点,原地果饮
面包甜点,南方糕点
咖啡厅,陌陌
酒吧,心醉酒吧
酒吧,陌陌
其他,竹林醉
其他,老牛湾
其他,长城粗粮馆
其他,农家牛骨头羊蝎子馆
其他,蔚县特色餐馆
其他,大红门饭店
其他,满堂春美食城
其他,鑫满楼私房菜
其他,隆福居饭庄
其他,吉庆大酒家
其他,对外餐厅
其他,万福酒楼
其他,(宣化服务区)餐饮
其他,东方红大酒店
其他,泰和大酒店
其他,桃源鸡
其他,金聚德饭店
其他,万联酒家
其他,农家乐饭庄
其他,紫竹轩饭庄
其他,鑫顺饭店
其他,鑫缘美味餐厅
其他,彩虹羊蝎子
其他,红灯笼酒楼
其他,新世纪酒楼
其他,湖畔人家
其他,无名饭店
其他,品缘饭店
其他,劝业楼饭庄
其他,玉晶酒楼
其他,天地缘饭店
其他,铭熺酒楼
其他,同和香酒家
其他,金玉饭店
其他,鸿德聚
其他,鑫盛酒店
其他,春兰饭店
其他,泰达饭庄
其他,香美圆饭店
其他,红峰饭店
其他,健乐园酒家
其他,客来香餐厅
其他,杨乙饭馆
其他,十里香饭店
其他,鸿运饭店
其他,盛丽园饭店
其他,四季顺饭店
其他,惠民饭店
其他,老朱饭店
其他,桥头饭店
其他,金皇配货站餐厅
其他,永合饭店
其他,满圆红饭店
其他,贵龙餐厅
其他,金发酒店
其他,双龙聚大酒店
其他,诚信大酒店
其他,菜香居
其他,福地人家
其他,姐妹饭店
其他,祥和缘饭店
其他,星鑫饭店
其他,(罗家洼服务区)餐厅
其他,再回首饭店
其他,兄妹餐馆
其他,鑫玉饭庄
其他,好运来美食城
其他,红一角美食城
其他,德顺居
其他,功德富饭庄
