海鲜,大连渔家风味阁
川菜,川香食府
川菜,蜀色川香特味小吃
湘菜,有山有水小田园私房菜馆
湘菜,红福农家
东北菜,(松岭门服务区)餐厅
东北菜,宏哲饭店
东北菜,老凿沟饭店(孟杖子店)
东北菜,嘉庆农家院
东北菜,正宗云南过桥米线
东北菜,王家大院生态园
东北菜,胜源蒸饺馆米线自转小火锅
东北菜,农家大院
东北菜,一亩地酒馆
东北菜,和宝农家乐
东北菜,第七生产队
东北菜,大众快餐
东北菜,老地方饭庄
东北菜,贵宾农家饭店
东北菜,农家乐餐厅
东北菜,怡宾楼
东北菜,久福居
东北菜,(大庙服务区)餐厅
东北菜,大海家常菜饺子馆(龙山街店)
东北菜,老凿沟饭店
东北菜,和名饭店
东北菜,如意酒楼
粤菜,鑫兴酒楼
江浙菜,春阳饭店
火锅,孟家店火锅
小吃面食,爱食客
小吃面食,上品麻辣烫
小吃面食,兴隆小吃
小吃面食,大里寺云南过桥米线、龙山店
快餐简餐,百变猪排
快餐简餐,大个快餐烧烤
快餐简餐,皖北板面
快餐简餐,中街特味快餐
快餐简餐,柳家包子
快餐简餐,丰盛熟食店
烧烤,小马烧烤
面包甜点,卡奇凌休闲吧
其他,有山有水小田园私房菜馆
其他,加多宝经销(加多宝经销潘玉章)
其他,百年大厨房(六家子店 序号153)
