川菜,天客来菜馆
闽菜,一品堂
闽菜,南口三角鱼庄
闽菜,河田饭店
闽菜,三桌半酒家
闽菜,新祥盛酒楼
闽菜,宁化饭店
闽菜,肥仔大排档
闽菜,香满园饭庄
闽菜,七星岩羊肉馆明溪店
闽菜,鲜鱼饭店
闽菜,得月楼酒家
闽菜,君悦酒店
闽菜,369小炒
闽菜,憩园小酒楼
闽菜,鑫辉美食
闽菜,景生小炒
闽菜,绿园小楼
闽菜,香醉人间美食城
闽菜,红茗村食府
闽菜,明鑫酒店
闽菜,皇朝大酒店
闽菜,乡巴佬花园酒店
闽菜,边贸鱼头馆
闽菜,伊顺餐馆
闽菜,顺峰大酒楼
闽菜,山香饭店
闽菜,连城多汤店
闽菜,城关明光饭庄
闽菜,永安风味
闽菜,良明饭店
闽菜,良友美食
闽菜,新城食府
闽菜,馨香园
闽菜,好味道牛肉店
闽菜,林记鲜鱼汤饭店
闽菜,新丰早茶
闽菜,意隆酒家
闽菜,悦华小炒
闽菜,民以食为天饭店
闽菜,丽华饭店
闽菜,大金源酒家
闽菜,华仔牛肉店
闽菜,再兴饭店
闽菜,金威小炒
闽菜,阳光三和园
闽菜,老街饭店
闽菜,光辉小炒
闽菜,香香卷粉店
闽菜,天津汤包王
闽菜,林记鲜鱼汤
闽菜,358小炒
闽菜,原味砂锅
闽菜,连城饭店
闽菜,寒英鲜啤吧炒菜馆
闽菜,兰业美食城
闽菜,东新饭庄
闽菜,安宁饭店
闽菜,金辉小炒
闽菜,鑫源饭店
闽菜,闽西小饭店
闽菜,鸿福小炒
湘菜,农家咸饭·百姓厨房
湘菜,闽湘饭馆
粤菜,喜临门大酒楼
粤菜,玲珑阁
粤菜,假日美食
江浙菜,小南国美食
江浙菜,起源小厨
火锅,七星岩羊肉馆
火锅,川串麻辣烫火锅
小吃面食,杜氏特香包
小吃面食,龙氏刀削面
小吃面食,兴顺永安粿条
小吃面食,山西刀削面
小吃面食,食惯嘴小吃店
小吃面食,广东肠粉
小吃面食,浩希粥面馆
快餐简餐,美其乐(明溪1#餐厅)
快餐简餐,美其乐(明溪2#餐厅)
快餐简餐,乐香基餐厅
快餐简餐,找找台湾手摇茶
快餐简餐,沙县小吃
快餐简餐,麦乐士
快餐简餐,湘赣木桶饭
快餐简餐,华莱士西式休闲快餐明溪餐厅
快餐简餐,沙县小吃
快餐简餐,茶物语
快餐简餐,尝享来小炒
快餐简餐,好日子牛肉风味小吃
快餐简餐,滋味烤鱼馆
快餐简餐,韩国小鱼饼
快餐简餐,东北水饺
快餐简餐,美食美客小炒城
快餐简餐,梦思莱卤鸭
快餐简餐,黄老二烤鸭
快餐简餐,王辉烤鸭
快餐简餐,海食舫
快餐简餐,东新营养小吃
快餐简餐,福妈妈永和豆浆
快餐简餐,景锋牛肉小吃
快餐简餐,佰福美食
快餐简餐,隆兴快餐
快餐简餐,唐城老鸭店
快餐简餐,盈客小吃
快餐简餐,荣华快餐小炒
快餐简餐,城关快餐店
快餐简餐,御苑餐厅
快餐简餐,358小炒
快餐简餐,鑫凤小吃
快餐简餐,天天小吃
快餐简餐,避风塘聚餐园
快餐简餐,沙县小吃
快餐简餐,阿娟牛肉小吃
快餐简餐,金晖花园小吃店
快餐简餐,沙县小吃
快餐简餐,味儿美快餐小炒
烧烤,小钟碳烤全鱼
烧烤,阿珠烧烤
烧烤,姜太公烤鱼
烧烤,小红帽烧烤
西餐,佳客来
面包甜点,杜氏特香包
面包甜点,明溪糖朝
面包甜点,杜氏特香包
面包甜点,小草北路
面包甜点,罗氏面包
面包甜点,迈特蛋糕屋
面包甜点,金苹果面包屋
面包甜点,阿兰面包屋
面包甜点,水舞功夫
面包甜点,水水葡京
面包甜点,华城面包蛋糕
面包甜点,康利得面包坊
面包甜点,动力杯冷热饮
面包甜点,旖旎奶茶坞
面包甜点,迈特蛋糕世界
面包甜点,闲情屋
茶馆,卡亚小镇
茶馆,崇圣岩富贵茶楼全国连锁(008号店)
茶馆,年年香休闲茶庄
茶馆,大地天缘茶馆明溪分店
茶馆,山村茶庄明溪连锁
咖啡厅,老塞行动咖啡(三明明溪店)
咖啡厅,蓝调咖啡
咖啡厅,根据地咖啡馆
酒吧,爱伊酒吧
酒吧,月光酒吧
其他,明民酒家
其他,阿森小炒
其他,客家饭店
其他,客家飘香牛肉店
其他,御苑餐厅
其他,客家香脆牛肉店
其他,斯利美休闲vs神龙冒菜
