其他西餐,Ithaa undersea restaurant,Ithaa undersea restaurant,0,南阿里环礁,7.9,8.0,8.0
快餐简餐,KIHAAD主餐厅,KIHAAD主餐厅,0,马尔代夫群岛,8.7,8.7,8.7
快餐简餐,马纳法鲁岛,马纳法鲁岛,0,,8.4,7.5,8.4
快餐简餐,坎度餐厅,坎度餐厅,0,马尔代夫群岛,6.7,7.4,7.4
快餐简餐,莫河羊肉馆,莫河羊肉馆,0,,7.2,6.8,7.7
快餐简餐,Marrybrown,Marrybrown,0,,7.0,6.9,7.0
快餐简餐,德克士,德克士,0,,0.0,0.0,0.0
快餐简餐,大厨小菜馆,大厨小菜馆,0,,0.0,0.0,0.0
快餐简餐,台湾咔咔寿酵素梅and代餐粉,台湾咔咔寿酵素梅and代餐粉,0,,0.0,0.0,0.0
快餐简餐,点点心,点点心,0,,0.0,0.0,0.0
海鲜,Zhe Dining Room,Zhe Dining Room,0,马尔代夫群岛,6.4,8.2,8.2
海鲜,reef自助餐厅,reef自助餐厅,0,,8.5,8.5,8.5
酒吧,珊瑚吧,珊瑚吧,0,,8.5,8.5,8.5
酒吧,Azzurro酒吧,Azzurro酒吧,0,,7.5,8.4,8.4
酒吧,卡尼岛日落酒吧,卡尼岛日落酒吧,0,马尔代夫群岛,6.7,8.3,8.3
酒吧,Keuredi Bar,Keuredi Bar,0,马尔代夫群岛,7.1,7.1,7.1
酒吧,Naiboli Bar,Naiboli Bar,0,,7.5,7.5,7.5
酒吧,Dhoni Bar,Dhoni Bar,0,,7.1,7.1,7.1
酒吧,Kakuni Bar,Kakuni Bar,0,,7.0,7.0,7.0
酒吧,加勒比风,加勒比风,0,,0.0,0.0,0.0
酒吧,鑫晴清吧,鑫晴清吧,0,,0.0,0.0,0.0
酒吧,Sand bar,Sand bar,0,马尔代夫群岛,0.0,0.0,0.0
更多亚洲菜,Sala Thai Restaurant,Sala Thai Restaurant,0,马累市区和机场,8.3,8.0,8.3
咖啡厅,内飞VIP Room,内飞VIP Room,0,马尔代夫群岛,7.4,7.9,8.0
咖啡厅,蓝岸咖啡,蓝岸咖啡,0,,8.3,8.3,8.3
咖啡厅,Seagull Cafe House,Seagull Cafe House,0,,7.5,7.1,8.0
咖啡厅,I-berry Cafe,I-berry Cafe,0,,7.1,7.1,7.1
咖啡厅,Marble Cafe,Marble Cafe,0,,7.0,7.0,7.0
咖啡厅,Jazz Cafe,Jazz Cafe,0,,7.1,7.3,7.1
咖啡厅,The Coffee House,The Coffee House,0,,7.1,7.0,7.1
咖啡厅,Cafe Bourse,Cafe Bourse,0,,6.9,6.9,6.9
咖啡厅,Cafe Mazada,Cafe Mazada,0,,6.9,6.9,6.9
咖啡厅,Evening Cafe,Evening Cafe,0,,7.0,7.0,6.9
披萨,Pizza Buona,Pizza Buona,0,,7.8,7.1,7.9
面包甜点,口口香饮吧,口口香饮吧,0,,7.7,7.7,7.7
面包甜点,SWENSENS,SWENSENS,0,马累市区和机场,6.7,6.0,6.7
面包甜点,汤师傅糕点,汤师傅糕点,0,,7.7,7.7,7.7
面包甜点,么么哒,么么哒,0,,0.0,0.0,0.0
烧烤,兄弟伙纸包鱼,兄弟伙纸包鱼,0,,6.7,6.7,8.3
