素菜,鹽酥杏鮑菇,鹽酥杏鮑菇,0,前镇区,0.0,0.0,0.0
面食,刘家冠军牛肉面,刘家冠军牛肉面,0,梦时代商圈,0.0,0.0,0.0
面食,不糊面线,不糊面线,0,,0.0,0.0,0.0
面食,富康牛肉面馆,富康牛肉面馆,0,,0.0,0.0,0.0
面食,进芳手工拉面,进芳手工拉面,0,,0.0,0.0,0.0
面食,面线吴,面线吴,0,,0.0,0.0,0.0
面食,龙一意面美食馆,龙一意面美食馆(复兴店),0,,0.0,0.0,0.0
面食,台北迪化街红面线(五甲),台北迪化街红面线(五甲),0,,0.0,0.0,0.0
面食,大肠猪血汤,大肠猪血汤,0,,0.0,0.0,0.0
面食,老字号无名面摊,老字号无名面摊,0,,0.0,0.0,0.0
面食,罗胖子山东手工水饺,罗胖子山东手工水饺,0,,0.0,0.0,0.0
面食,鲜僎家族,鲜僎家族,0,,0.0,0.0,0.0
面食,永乐阳春面,永乐阳春面,0,,0.0,0.0,0.0
面食,阿添伯传统美食,阿添伯传统美食,0,,0.0,0.0,0.0
面食,阿彬炒面屋,阿彬炒面屋,0,,0.0,0.0,0.0
面食,无名铁板面,无名铁板面,0,,0.0,0.0,0.0
面食,武庙路面线焿,武庙路面线焿,0,,0.0,0.0,0.0
面食,徐记双方干面,徐记双方干面,0,,0.0,0.0,0.0
面食,阿宏面店,阿宏面店,0,,0.0,0.0,0.0
面食,阿妈阳春面,阿妈阳春面,0,,0.0,0.0,0.0
台湾菜,莊记海产粥,莊记海产粥,39,六合夜市,0.0,0.0,0.0
台湾菜,南丰鲁肉饭,南丰鲁肉饭,0,三多商圈,0.0,0.0,0.0
台湾菜,冠洲活海鲜餐厅,冠洲活海鲜餐厅,0,,0.0,0.0,0.0
台湾菜,六合乌鱼子,六合乌鱼子,47,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,土魠鱼焿,土魠鱼焿,10,六合夜市,0.0,0.0,0.0
台湾菜,美浓客家菜,美浓客家菜(南高雄店),0,,0.0,0.0,0.0
台湾菜,阿部平价海鲜烧烤,阿部平价海鲜烧烤,0,三多商圈,0.0,0.0,0.0
台湾菜,新台湾原味,新台湾原味,154,左营车站,0.0,0.0,0.0
台湾菜,九福大饭店,九福大饭店,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,台湾第一肠大肠包小肠,台湾第一肠大肠包小肠,0,六合夜市,0.0,0.0,0.0
台湾菜,美味园杏鲍菇,美味园杏鲍菇,0,中央公园/美丽岛,7.1,6.8,7.3
台湾菜,大爷臭豆腐,大爷臭豆腐,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,驿站食堂,驿站食堂(后驿总店),0,高雄火车站,0.0,0.0,0.0
台湾菜,大沟顶阿罗哈卤味,大沟顶阿罗哈卤味,0,真爱码头,0.0,0.0,0.0
台湾菜,老新台菜,老新台菜,0,高雄火车站,0.0,0.0,0.0
台湾菜,老二腿库饭,老二腿库饭,0,三多商圈,0.0,0.0,0.0
台湾菜,郭家肉粽‧碗粿,郭家肉粽‧碗粿,0,高雄近郊,7.7,7.8,7.7
台湾菜,南华夜市,南华夜市,0,高雄国际机场,0.0,0.0,0.0
台湾菜,蔡家乌鱼子,蔡家乌鱼子,0,六合夜市,0.0,0.0,0.0
台湾菜,东山鸭头,东山鸭头,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,In Our Time 电台食堂,In Our Time 电台食堂,0,西子湾景区,0.0,0.0,0.0
台湾菜,六合蚵仔煎,六合蚵仔煎,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,台湾丢丢铜仔,台湾丢丢铜仔,0,中央公园/美丽岛,0.0,0.0,0.0
